File,Dir,Datetime,Camera,SeqNum,SeqLen,SeqNumDiff,Night,Mean,Std,NumObj,Size,X,Y
IMG_2586.JPG,D:\Photo_Set_1\,2016:11:30 12:12:34,CAM74,,,,,,,3.0,117913.0,1165.0,547.0
IMG_2586.JPG,D:\Photo_Set_1\,2016:11:30 12:12:34,CAM74,,,,,,,3.0,11677.0,53.0,534.0
IMG_2586.JPG,D:\Photo_Set_1\,2016:11:30 12:12:34,CAM74,,,,,,,3.0,19761.0,1898.0,570.0
IMG_2587.JPG,D:\Photo_Set_1\,2016:11:30 12:12:38,CAM74,1,3,1|0,0,8.66,25.81,3.0,,,
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,3.0,85181.0,447.0,552.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,3.0,37295.0,1603.0,566.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,3.0,11872.0,1939.0,584.0
IMG_2588.JPG,D:\Photo_Set_1\,2016:11:30 12:12:39,CAM74,2,3,2|1,0,9.16,26.98,4.0,,,
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,4.0,79332.0,398.0,546.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,4.0,16394.0,972.0,553.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,4.0,16641.0,1548.0,577.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,4.0,28471.0,1860.0,565.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,3,3,0|2,0,9.89,28.55,2.0,,,
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,2.0,100291.0,517.0,543.0
IMG_2589.JPG,D:\Photo_Set_1\,2016:11:30 12:12:40,CAM74,,,,,,,2.0,60960.0,1696.0,562.0
IMG_2590.JPG,D:\Photo_Set_1\,2016:11:30 12:12:49,CAM74,1,3,1|0,0,11.89,32.81,3.0,,,
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,3.0,125364.0,735.0,510.0
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,3.0,24716.0,123.0,527.0
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,3.0,59263.0,1566.0,567.0
IMG_2591.JPG,D:\Photo_Set_1\,2016:11:30 12:12:50,CAM74,2,3,2|1,0,13.38,35.43,2.0,,,
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,2.0,204452.0,933.0,511.0
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,2.0,21830.0,101.0,543.0
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,3,3,0|2,0,13.59,35.34,1.0,,,
